"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         167,      -5.775606916,      -2.081560457,      -4.197999113,      -0.332373103,      -7.354130754
          0,           0,         168,      -5.776784134,      -2.083053722,      -4.214920318,     -0.3334325303,      -7.350271426
          0,           0,         169,      -5.777930841,      -2.084529096,       -4.23050614,     -0.3344585473,      -7.346514021
          0,           0,         170,      -5.779049429,      -2.085986657,      -4.244699428,     -0.3354547901,      -7.342835146
          0,           0,         171,      -5.780143033,      -2.087426476,       -4.25767404,     -0.3364260373,      -7.339221852
          0,           0,         172,      -5.781214713,      -2.088848598,      -4.269789859,      -0.337376951,      -7.335669716
          0,           0,         173,      -5.782266851,      -2.090253035,      -4.281514942,     -0.3383110539,      -7.332158048
          0,           0,         174,      -5.783300765,      -2.091639756,      -4.293328522,     -0.3392301709,      -7.328391478
          0,           0,         175,       -5.78431664,       -2.09300865,       -4.30562421,     -0.3401344384,      -7.322995447
          0,           0,         176,      -5.785313566,      -2.094359715,      -4.318631782,     -0.3410221496,      -7.316408223
          0,           0,         177,      -5.786290659,      -2.095693521,      -4.332371634,     -0.3418903301,      -7.310699018
          0,           0,         178,      -5.787248943,      -2.097010614,      -4.346650799,     -0.3427383332,      -7.305855518
          0,           0,         179,       -5.78818882,      -2.098311449,      -4.361110108,     -0.3435658026,      -7.301530088
          0,           0,         180,      -5.789110318,      -2.099596416,      -4.375313528,     -0.3443727146,      -7.297506599
          0,           0,         181,      -5.790013912,      -2.100865848,      -4.388858743,     -0.3451599321,      -7.293676412
          0,           0,         182,      -5.790900638,      -2.102120024,      -4.401484383,     -0.3459291894,       -7.28997851
          0,           0,         183,      -5.791771885,      -2.103359179,      -4.413141949,     -0.3466827709,      -7.286381063
          0,           0,         184,      -5.792629177,      -2.104583504,      -4.424008412,     -0.3474231299,      -7.282867321
          0,           0,         185,      -5.793473978,      -2.105793163,      -4.434438046,     -0.3481525638,      -7.279425521
          0,           0,         186,      -5.794307549,      -2.106988294,      -4.444874305,      -0.348872996,      -7.276043559
          0,           0,         187,      -5.795130896,       -2.10816902,      -4.455752203,     -0.3495858946,      -7.272639535
          0,           0,         188,      -5.795944783,       -2.10933543,      -4.467414802,     -0.3502923527,      -7.267831053
          0,           0,         189,       -5.79674967,      -2.110487574,      -4.480055642,     -0.3509930646,      -7.260946915
          0,           0,         190,      -5.797545786,      -2.111626512,      -4.493688989,     -0.3516866048,      -7.255250629
          0,           0,         191,      -5.798336898,      -2.112753141,      -4.508136712,     -0.3523756685,       -7.25063299
          0,           0,         192,      -5.799125031,       -2.11386809,      -4.523063493,      -0.353062295,      -7.246569791
          0,           0,         193,      -5.799910327,      -2.114971851,       -4.53802988,     -0.3537470763,      -7.242797711
          0,           0,         194,      -5.800692601,      -2.116064813,      -4.552558122,     -0.3544302295,      -7.239199032
          0,           0,         195,      -5.801471666,      -2.117147285,      -4.566219064,     -0.3551118485,      -7.235721277
          0,           0,         196,      -5.802247278,       -2.11821951,      -4.578720931,     -0.3557919017,      -7.232339787
          0,           0,         197,       -5.80301916,      -2.119281691,      -4.589968112,     -0.3564702679,      -7.229038881
          0,           0,         198,      -5.803787064,      -2.120333997,      -4.600068529,     -0.3571467859,      -7.225806879
          0,           0,         199,      -5.804550806,      -2.121376577,      -4.609288211,      -0.357821289,      -7.222624388
          0,           0,         200,      -5.805310268,      -2.122409569,      -4.617969096,     -0.3584936237,      -7.218884271
          0,           0,         201,      -5.806065389,      -2.123432965,      -4.626437654,     -0.3591638946,       -7.21219105
          0,           0,         202,      -5.806815656,      -2.124447773,      -4.634930727,     -0.3598299521,      -7.206411896
          0,           0,         203,      -5.807564387,      -2.125455127,      -4.643528941,     -0.3604934461,      -7.201955795
          0,           0,         204,      -5.808314471,      -2.126455642,      -4.652175317,     -0.3611571523,      -7.198105794
          0,           0,         205,      -5.809065904,      -2.127449772,      -4.660716516,     -0.3618215885,      -7.194544608
          0,           0,         206,      -5.809818304,      -2.128437863,      -4.668924247,     -0.3624868796,      -7.191144705
          0,           0,         207,      -5.810571577,      -2.129420186,      -4.676557762,     -0.3631532899,       -7.18785764
          0,           0,         208,      -5.811325728,      -2.130396951,      -4.683437468,     -0.3638211378,      -7.184661254
          0,           0,         209,      -5.812080782,      -2.131368331,      -4.689497805,     -0.3644907564,      -7.181543757
          0,           0,         210,      -5.812836829,      -2.132334465,      -4.694810122,     -0.3651625241,      -7.178493945
          0,           0,         211,      -5.813594034,      -2.133295474,      -4.699571218,     -0.3658368673,      -7.175483281
          0,           0,         212,       -5.81435262,      -2.134251457,      -4.704063263,     -0.3665142481,      -7.171141249
          0,           0,         213,      -5.815112834,      -2.135202429,      -4.708597609,     -0.3671952303,       -7.16458731
          0,           0,         214,      -5.815874699,      -2.136149868,      -4.713458531,     -0.3678776608,      -7.159804471
          0,           0,         215,      -5.816643463,      -2.137094482,      -4.718812181,     -0.3685660625,      -7.155944005
          0,           0,         216,      -5.817420436,      -2.138036681,      -4.724778429,     -0.3692622231,      -7.152469792
          0,           0,         217,       -5.81820502,      -2.138976755,       -4.73136782,       -0.36996627,      -7.149183317
          0,           0,         218,       -5.81899686,      -2.139914912,      -4.738461952,     -0.3706783054,       -7.14601323
          0,           0,         219,      -5.819795777,      -2.140851297,      -4.745846485,      -0.371398428,      -7.142934925
          0,           0,         220,      -5.820601483,      -2.141786009,      -4.753252564,     -0.3721265728,      -7.139936183
          0,           0,         221,      -5.821413582,      -2.142719107,      -4.760394957,     -0.3728625234,      -7.137006463
          0,           0,         222,      -5.822231641,      -2.143650619,      -4.767015767,      -0.373605972,      -7.134130012
          0,           0,         223,      -5.823055213,       -2.14458055,      -4.772922566,      -0.374356544,      -7.130825353
          0,           0,         224,      -5.823883856,      -2.145508758,      -4.778011721,     -0.3751140338,      -7.124656747
          0,           0,         225,      -5.824716693,      -2.146436281,       -4.78227333,     -0.3758757884,      -7.119910101
          0,           0,         226,       -5.82555727,      -2.147363812,      -4.785720082,     -0.3766441196,       -7.11617957
          0,           0,         227,      -5.826407096,      -2.148291609,      -4.788465477,     -0.3774206334,      -7.112843737
          0,           0,         228,      -5.827265287,      -2.149219833,      -4.790662081,     -0.3782049416,      -7.109687177
          0,           0,         229,      -5.828131116,      -2.150148584,      -4.792422532,     -0.3789966429,      -7.106639618
          0,           0,         230,      -5.829004225,      -2.151077912,       -4.79381969,     -0.3797955577,      -7.103674692
          0,           0,         231,      -5.829884266,      -2.152007828,      -4.794895313,     -0.3806015022,      -7.100783126
          0,           0,         232,      -5.830770837,      -2.152938307,      -4.795667274,     -0.3814142597,      -7.097956502
          0,           0,         233,      -5.831663536,      -2.153869295,      -4.796138919,     -0.3822336063,      -7.095181691
          0,           0,         234,      -5.832561977,      -2.154800707,      -4.796319347,     -0.3830593178,      -7.092099403
          0,           0,         235,      -5.833465798,      -2.155732335,       -4.79623722,     -0.3838913337,      -7.086442065
          0,           0,         236,      -5.834374315,      -2.156664963,      -4.795950277,     -0.3847275952,      -7.082085642
          0,           0,         237,      -5.835290666,      -2.157599048,      -4.795493505,     -0.3855702602,      -7.078583704
          0,           0,         238,      -5.836216208,      -2.158534705,       -4.79496689,     -0.3864207779,      -7.075407711
          0,           0,         239,      -5.837150352,      -2.159471986,      -4.794488712,     -0.3872789886,      -7.072378805
          0,           0,         240,      -5.838092682,       -2.16041091,      -4.794143663,      -0.388144765,      -7.069441309
          0,           0,         241,      -5.839043073,      -2.161351463,      -4.793988332,     -0.3890181608,      -7.066576653
          0,           0,         242,      -5.840001343,      -2.162293605,      -4.794055557,      -0.389899191,      -7.063775154
          0,           0,         243,      -5.840967177,      -2.163237264,      -4.794348279,     -0.3907877678,      -7.061030297
          0,           0,         244,      -5.841940173,      -2.164182333,      -4.794843844,     -0.3916837229,      -7.058330993
          0,           0,         245,      -5.842919865,      -2.165128669,      -4.795497547,     -0.3925868013,      -7.055194054
          0,           0,         246,      -5.843905735,      -2.166076005,      -4.796248152,     -0.3934967943,      -7.050055802
          0,           0,         247,      -5.844896931,      -2.167024978,       -4.79702937,      -0.394411623,       -7.04617298
          0,           0,         248,      -5.845896124,       -2.16797575,      -4.797730961,     -0.3953332096,      -7.042898823
          0,           0,         249,       -5.84690382,      -2.168928326,      -4.798300482,     -0.3962620286,      -7.039866272
          0,           0,         250,      -5.847919347,      -2.169882675,       -4.79869146,      -0.397197598,      -7.036945537
          0,           0,         251,      -5.848942288,      -2.170838763,      -4.798850625,     -0.3981395609,       -7.03409873
          0,           0,         252,      -5.849972437,      -2.171796544,      -4.798739467,     -0.3990877241,      -7.031311762
          0,           0,         253,      -5.851009496,      -2.172755954,      -4.798339369,     -0.4000418671,      -7.028579513
          0,           0,         254,      -5.852053039,      -2.173716904,      -4.797651796,     -0.4010017233,      -7.025896246
          0,           0,         255,      -5.853102534,      -2.174679264,      -4.796693554,      -0.401966971,       -7.02325017
          0,           0,         256,      -5.854157375,      -2.175642862,       -4.79549736,     -0.4029372226,      -7.019985217
